title,title2,genre,ratings,studio,type,rank,members,description,img_url,link
Boku no Hero Academia the Movie 3: World Heroes' Mission,My Hero Academia: World Heroes' Mission,"['Action', 'Super Power', 'Shounen']",7.58,Bones,Movie,Ranked #1416,"Members 194,316","Under the doctrines of Quirk Doomsday Theory, the ideological group Humarise is convinced that all humans with quirks are diseased and must be eradicated. In order to rebuild the world, the group's extremists have constructed a lethal device known as a ""Trigger Bomb"" that causes people with quirks to lose control and die. Their leader, Flect Turn, evades capture from the Pro Heroes deployed around the world.

During his work study in the country of Otheon with Japan's number one Pro Hero, Izuku ""Deku"" Midoriya is accused of a crime he did not commit. Unintentionally involving Roddy Soul, a local, Deku soon finds himself on the run with the boy. It is now up to Rody, Deku, and Deku's classmates to stop the Trigger Bomb plot set in motion by Flect, all while eluding the other persistent members of Humarise.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1049/115605.jpg,https://myanimelist.net/anime/44200/Boku_no_Hero_Academia_the_Movie_3__World_Heroes_Mission
Cider no You ni Kotoba ga Wakiagaru,Words Bubble Up Like Soda Pop,"['Romance', 'Slice of Life', 'Music']",7.42,"Signal.MD,             Sublimation",Movie,Ranked #1988,"Members 185,018","Yui ""Cherry"" Sakura expresses himself better through the haiku he writes and posts on the internet, even though no one gives it attention. While preparing for him and his family to relocate in August, he spends the summer working part-time at a welfare facility. Meanwhile, Yuki ""Smile"" Hoshino is a budding influencer who wants everyone to smile. However, she feels uneasy about the braces on her protruding front teeth and conceals her own smile using a disposable mask.

After an accidental encounter with Cherry, Smile finds herself becoming a part-time worker at the same facility as him. Soon, the two assist a senile man, Fujiyama, in searching an old vinyl record he owns. Unable to remember its last location, he wishes to listen to it once more before his memories fade for good. Cherry and Smile only have the record's sleeve and the word ""yamazakura"" as clues, and their hunt in the hazy summer heat begins.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1952/116031.jpg,https://myanimelist.net/anime/39175/Cider_no_You_ni_Kotoba_ga_Wakiagaru
Ryuu to Sobakasu no Hime,Belle,"['Drama', 'Fantasy', 'Music']",7.55,Studio Chizu,Movie,Ranked #1546,"Members 124,572","""U"" is a popular social media platform where people can create a virtual persona and start a new life. Among its five billion users, one newcomer is quickly gaining attention: Belle, a beautiful singer whose alluring melodies slowly capture the hearts of the masses. But in this space where everyone hides behind an avatar, curiosity arises over who the mysterious girl truly is. 

Suzu Naito—a shy girl from the countryside—can no longer sing following past trauma, all her efforts resulting in breakdowns and illness. However, when Suzu joins U, she is once again able to project her voice. Under the alias ""Belle,"" her vocals soon go viral, receiving both love and hatred. Meanwhile, rumors spread of a chaotic beast within U, known only as ""The Dragon."" After a chance meeting during her concert, Belle finds he is not as evil as the stories suggest. Now, both online and in the real world, Suzu has to face the struggles of identity, fame, and opening one's heart.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1081/115716.jpg,https://myanimelist.net/anime/44807/Ryuu_to_Sobakasu_no_Hime
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,The Seven Deadly Sins Movie 2: Cursed By Light,"['Action', 'Adventure', 'Fantasy', 'Shounen']",7.12,Studio Deen,Movie,Ranked #3421,"Members 64,487","Meliodas and his friends jump back into action, when the new era of peace is threatened by a powerful magical alliance that could spell the end for all.

(Source: Netflix)",https://cdn.myanimelist.net/images/anime/1096/113360.jpg,https://myanimelist.net/anime/46420/Nanatsu_no_Taizai_Movie_2__Hikari_ni_Norowareshi_Mono-tachi
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,Fate/Grand Order: Final Singularity - Grand Temple of Time: Solomon,"['Action', 'Fantasy', 'Supernatural', 'Isekai']",7.83,CloverWorks,Movie,Ranked #855,"Members 60,815","After battling their way through all seven Singularities, the Chaldea Security Organization has finally arrived at the endpoint of the Grand Order: The Final Singularity, Grand Temple of Time: Solomon. Now is the time to defeat the root of all evil, Solomon, the King of Mages. Now is the time to reclaim the future. With the final operation looming large, Romani Archaman considers the choices he will soon have to make, Mash Kyrielight dwells on life's limitations, and Fujimaru prepares to receive a new Mystic Code. All their many encounters have led to this moment as Fujimaru and Mash at last embark on their final operation...

(Source: anime.fate-go.us)",https://cdn.myanimelist.net/images/anime/1507/114957.jpg,https://myanimelist.net/anime/41497/Fate_Grand_Order__Shuukyoku_Tokuiten_-_Kani_Jikan_Shinden_Solomon
Free! Movie 4: The Final Stroke - Zenpen,,"['Sports', 'School']",7.74,Kyoto Animation,Movie,Ranked #1028,"Members 52,453",No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,https://cdn.myanimelist.net/images/anime/1450/117893.jpg,https://myanimelist.net/anime/38400/Free_Movie_4__The_Final_Stroke_-_Zenpen
Kakushigoto Movie,,"['Comedy', 'Slice of Life', 'Childcare', 'Shounen']",7.66,Ajia-Do,Movie,Ranked #1234,"Members 36,704","Compilation movie of the TV series which includes new scenes that were not adapted in the television anime, and different perspectives.

Kakushi Gotou is a somewhat popular manga artist whose works are known for inappropriate content. Because of this raunchiness, when his daughter Hime was born, he vowed to keep his profession hidden from her, believing that she will be disillusioned if she finds out.

This paranoia-induced belief leads Kakushi into hectic situations. Despite being a single father, he does his best and often resorts to extreme ends just to protect his secret, such as guising as a salaryman every day or holding emergency drills in case Hime somehow finds her way to his workplace.

Kakushigoto tells the story of a father and daughter living side by side, maintaining their peaceful existence as the father attempts to preserve the status quo. However, there is a saying: ""there are no secrets that time cannot reveal."" In time, Hime must learn the reality behind the things she took for granted as she grew up.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1115/114953.jpg,https://myanimelist.net/anime/44586/Kakushigoto_Movie
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo,Fate/kaleid liner Prisma Illya - Licht Nameless Girl,"['Action', 'Fantasy', 'Mahou Shoujo']",7.18,SILVER LINK.,Movie,Ranked #3157,"Members 28,751","The world is dying, no longer able to support life. The Ainsworth family can use the Holy Grail to save humanity, but the price of salvation is sacrifice of the magical girl Miyu — but Miyu’s brother, Shirou, won’t let them have her without a fight. Now it’s up to Illya to step in and find a solution that will save not only Miyu, but the entire world for impending doom. But when the price for the world's salvation is the life of a single, innocent girl, what will Illya choose?

(Source: Sentai Filmworks)",https://cdn.myanimelist.net/images/anime/1331/117733.jpg,https://myanimelist.net/anime/42030/Fate_kaleid_liner_Prisma☆Illya_Movie__Licht_-_Namae_no_Nai_Shoujo
Princess Principal: Crown Handler Movie 2,,"['Action', 'Mystery', 'Historical']",7.72,Actas,Movie,Ranked #1075,"Members 11,267","The problem with assassinations is that bullets are cheap, fanatics are fanatical, and even when an attempt fails, there's always a chance for follow-ups. So even if the attack on Prince Richard by a supposed foreign sniper fails to put his royal highness six feet under, it soon becomes clear that it's open hunting season for Royals when assassins strike again. Now Team White Pigeon's priorities must be split between locating the deadly Cavorite bombs smuggled into the country and protecting Princess Charlotte's sister Mary, the next in line... which, given that Charlotte herself is also a target and currently posing as White Pigeon's Ange, only redoubles the peril she's already found herself in! The fuses are primed, and the timers are counting down in the second shocking and explosive installment of Princess Principal: Crown Handler!

(Source: Sentai Filmworks, edited)",https://cdn.myanimelist.net/images/anime/1244/116570.jpg,https://myanimelist.net/anime/41140/Princess_Principal__Crown_Handler_Movie_2
Kiniro Mosaic: Thank You!!,,"['Comedy', 'Slice of Life', 'CGDCT', 'School', 'Seinen']",7.45,"Studio Gokumi,             AXsiZ",Movie,Ranked #1873,"Members 11,111",No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,https://cdn.myanimelist.net/images/anime/1505/116892.jpg,https://myanimelist.net/anime/41471/Kiniro_Mosaic__Thank_You
Misaki no Mayoiga,The House of the Lost on the Cape,"['Award Winning', 'Drama']",6.77,David Production,Movie,Ranked #5023,"Members 10,735","17-year-old Moeka, who lost her parents, and Yurie, seeking to escape her violent husband, got off at a Kitsunezaki station one day. The great earthquake and tsunami had changed their destinies. Their lives were saved, but they were perplexed when asked about their identities at an evacuation site. It was an old woman named Kiwa Yamana who lent them a helping hand. From that day, Yurie was known as Yui, Moeka as Hiyori, and together with Kiwa, the three women began a wonderful communal life together at the old house ""Mayoiga"" overlooking the sea.

(Source: MAL News)",https://cdn.myanimelist.net/images/anime/1472/116571.jpg,https://myanimelist.net/anime/43755/Misaki_no_Mayoiga
BanG Dream! Film Live 2nd Stage,,['Music'],7.76,SANZIGEN,Movie,Ranked #980,"Members 5,450",No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,https://cdn.myanimelist.net/images/anime/1229/117735.jpg,https://myanimelist.net/anime/41462/BanG_Dream_Film_Live_2nd_Stage
Ryouma! The Prince of Tennis Shinsei Movie: Tennis no Ouji-sama,Ryoma! The Prince of Tennis,"['Sports', 'Shounen']",6.36,"Keica,             The Monk Studios",Movie,Ranked #7354,"Members 4,278","
Following the conclusion of the National Middle School Tennis Tournament, 12-year-old tennis prodigy Ryouma Echizen sets out to the United States in order to further improve his tennis skills. While finding his own way to shine in the sport, Ryouma investigates a perplexing development: the circumstances behind his father's retirement from professional tennis. 

Known as ""Samurai Nanjiro,"" Ryouma's father Nanjiro is a legendary tennis player whose career abruptly ended after the US Open finals several years prior. Though Ryouma has studied the final match extensively, there are still many gaps in his understanding—gaps that he would only be able to fill by watching the match in person. 

As luck would have it, a supernatural phenomenon transports the young prodigy—and his unsuspecting classmate, Sakuno Ryuzaki—back in time to that very event. Although the events that occur before the game seem normal at first glance, the appearance of the mafia soon complicates the mystery behind the retirement. Despite the bad odds, Ryouma must do everything he can to unravel the circumstances and prevent his father's career from ending.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1737/117734.jpg,https://myanimelist.net/anime/38882/Ryouma_The_Prince_of_Tennis_Shinsei_Movie__Tennis_no_Ouji-sama
Bai She II: Qing She Jie Qi,White Snake 2: The Tribulation of the Green Snake,"['Adventure', 'Fantasy', 'Martial Arts', 'Mythology']",7.41,Light Chaser Animation Studios,Movie,Ranked #2032,"Members 2,833","Verta must find a way to escape from the Shura City, in order to rescue her sister Blanca from the monk named Fahai.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/anime/1024/116463.jpg,https://myanimelist.net/anime/49409/Bai_She_II__Qing_She_Jie_Qi
